species,barcode,collector_number,plant_height_m,leaf_length_cm,leaf_width_cm,leaf_sla,inflorescence_length_cm,inflorescence_width_cm,fruit_weight_mg,fruit_height_mm,fruit_length_mm,fruit_width_mm,seed_number,seed_weight_mg,seed_height_mm,seed_length_mm,seed_width_mm
multispicata,ny01855731,Orellana_1266,7,8.5,3.3,11.0,12.8,5.5,80.0,5.4,5.04,5.94,27,2.96,2.45,1.55,1.95
navioensis,ny01098178,Costa_221,na,9.5,4.5,9.4,9.5,4.0,9.0,3.2,2.91,3.03,29,0.31,0.98,0.77,0.92
navioensis,ny00924914,Froes_11758,7.5,9.0,4.3,5.3,5.0,8.0,11.0,3.3,3.27,3.2,27,0.41,1.23,1,1.10
navioensis,ny01098184,Rosa_4137,6,12.0,4.1,5.6,6.3,6.5,13.0,2.8,3.56,3.65,12,1.08,1.22,1.01,1.31
octopetala,ny01519481,Borges_405,10,25.5,13.0,6.1,12.5,3.0,229.0,6.8,8.9,8.68,25,9.16,3.53,1.03,2.35
octopetala,ny00521925,Mori_11063,5,34.0,17.5,4.6,19.0,5.5,305.0,8.7,10.1,9.72,12,25.42,4.44,2.5,3.28
penduliflora,ny03815925,Bacci_367,4,5.5,1.5,4.7,3.5,2.5,179.0,6.5,6.58,8.2,37,4.84,2.88,1.89,2.08
penduliflora,ny1738496,Goldenberg_1536,1.5,6.0,1.2,5.0,5.0,1.5,45.0,5.0,4.26,4.9,5,9.00,3.23,1.64,2.59
penduliflora,ny03815919,Bacci_373,2,5.7,1.3,5.7,3.5,1.3,142.0,7.3,4.57,7.7,15,9.47,3.37,2,2.84
pepericarpa,flor0031115,Assis_174,6,8.2,1.8,7.5,9.7,1.4,1.4,1.7,1.5,1.78,3,0.47,1.39,0.82,0.97
pepericarpa,flor0046124,Sampaio_3,8,8.5,2.0,7.2,8.0,1.0,2.8,1.9,1.89,1.93,2,1.40,1.79,1.28,1.39
petroniana,ny01318449,Caddah_766,4.5,11.0,6.0,9.8,12.5,5.0,3.0,2.2,2.28,2.46,2,1.50,2.21,1.61,1.86
petroniana,ny1738498,Goldenberg_1541,10,17.0,11.2,12.9,7.5,6.5,3.0,2.7,2.04,2.49,2,1.50,2.00,1.05,1.93
polyandra,mbml00038281,Fontana_1602,2,10.5,4.5,22.0,8.0,2.5,13.0,2.6,3.17,3.27,30,0.43,1.15,0.82,0.83
polyandra,mbml048722,Goldenberg_2153,7,15.6,6.0,18.0,7.0,3.5,24.0,3.7,2.66,3.13,36,0.67,1.01,0.86,0.76
polyandra,mbml00032290,Goldenberg_2190,6,8.5,4.0,14.6,8.5,2.5,17.0,3.2,2.71,3.56,23,0.74,1.23,0.86,1.09
polyandra,mbml00038294,Goldenberg_1057,3,7.0,4.5,10.8,6.0,2.0,20.0,3.7,2.8,4.18,37,0.54,1.00,0.75,0.72
polyandra,mbml00038296,Meirelles_282,3,5.0,2.8,6.5,6.3,2.4,22.0,3.7,3.51,3.5,46,0.48,1.28,0.8,0.91
polyandra,mbml00038288,Meirelles_444,3,7.2,3.3,7.4,6.3,2.6,18.0,3.4,3.56,3.31,36,0.50,0.93,1.05,0.95
pterocaulon,ny1653778,Callejas_8104,10,18.0,10.0,9.8,15.0,3.5,19.0,2.8,3.65,3.59,31,0.61,1.33,1.28,1.22
pterocaulon,ny03108522,Almeda_10273,9,20.5,10.1,11.5,18.0,4.0,15.0,3.3,3.93,3.91,36,0.42,1.24,1.2,1.07
punctata,ny01855698,SchunkeVigo_16397,3.5,19.0,5.6,6.8,12.0,5.0,21.0,4.1,3.03,4.04,7,3.00,2.74,1.5,1.76
punctata,upcb85428,Goldenberg_1928,8,18.7,7.5,7.3,15.6,9.5,43.0,4.1,4.63,4.9,10,4.30,2.35,1.45,1.66
punctata,upcb90551,Antoniazzi_upcb90551,na,18.5,6.6,16.5,10.4,8.0,20.0,4.1,3.79,4.67,6,3.33,3.46,1.95,2.20
punctata,upcb85429,Goldenberg_1964,6,14.8,8.1,7.8,11.4,9.0,13.0,4.2,3.28,4.47,4,3.25,1.61,0.95,1.41
racemifera,ny03368216,Goldenberg_1629,5,14.5,5.0,16.5,9.0,3.5,4.0,2.9,2.55,2.49,12,0.33,1.36,0.54,1.09
racemifera,ny01318270,Caddah_763,3.5,18.0,6.3,13.0,10.0,7.0,10.0,3.7,3.19,3.47,22,0.46,1.60,1.04,1.31
rondoniensis,ny03468450,Boelter_461,5,27.0,19.5,7.6,15.0,7.5,3.0,2.8,1.98,2.4,22,0.14,0.85,0.39,0.66
rondoniensis,ny00987409,Nee_34794,14,22.0,11.5,2.7,28.0,20.0,5.0,2.4,2.57,2.71,23,0.22,1.04,0.64,0.81
rufescens,ny01097905,Rabelo_252,2,11.5,6.0,6.2,10.0,4.0,7.0,3.5,2.94,3.03,25,0.28,0.80,0.72,0.67
rufescens,ny01097912,Kirkbride_2821,1.5,14.5,8.2,12.5,22.0,5.5,13.0,4.0,2.96,3.58,43,0.30,0.86,0.77,0.80
rufescens,ny02480132,Simon_2166,1.5,7.3,7.0,4.0,16.0,5.5,11.0,4.1,2.5,2.79,20,0.55,0.85,0.8,0.70
rufescens,ny1653901,Toledo_844,1.5,7.5,5.1,6.5,10.0,4.5,6.0,3.3,2.89,3.13,25,0.24,0.74,0.63,0.69
rufescens,ny03677146,Campos_3311,1.8,8.5,7.0,6.4,29.0,8.0,13.0,3.9,2.79,3.35,55,0.24,1.00,0.83,0.84
rufescens,ny02540455,Michelangeli_1752,1,8.2,5.8,8.2,24.0,5.0,14.0,4.9,3.15,3.41,59,0.24,0.92,0.8,0.92
ruficalyx,mg108892,Daly_3829,25,9.5,3.5,11.4,8.7,2.5,115.0,6.7,5,7.14,23,5.00,1.98,1.13,1.40
ruficalyx,mg37237,Silva_2427,8,9.6,4.0,6.9,7.6,2.0,73.0,8.7,6.59,8.8,12,6.08,1.98,1.6,1.40
ruficalyx,upcb0019925,Amorim_6276,10,10.7,6.6,6.3,15.7,6.8,23.0,3.2,3.67,3.73,24,0.96,1.48,0.72,0.87
ruficalyx,upcb0033430,Quinet_1195,12,7.1,4.5,9.0,9.6,3.4,23.0,4.5,2.58,3.85,21,1.10,na,na,na
ruschiana,ny1738455,Caddah_857,2.5,11.0,3.5,8.1,8.0,2.0,8.0,4.1,2.57,3.08,5,1.60,1.64,1.29,1.38
